rho,lmbda,n_proj,cr
0.2,4,50,0.457715
0.1,4,50,0.397055
0.9,5,1,0.20475
0.8,5,1,0.225165
0.7,5,1,0.123405
0.6,5,1,0.17212
0.5,5,1,0.17033
0.4,5,1,0.00188
0.3,5,1,0.001505
0.2,5,1,0.00188
0.1,5,1,0.00255
0.9,5,10,0.884625
0.8,5,10,0.653935
0.7,5,10,0.723015
0.6,5,10,0.31293
0.5,5,10,0.42081
0.4,5,10,0.288675
0.3,5,10,0.14275
0.2,5,10,0.06298
0.1,5,10,0.081055
0.9,5,20,0.955415
0.8,5,20,0.842415
0.7,5,20,0.79774
0.6,5,20,0.739175
0.5,5,20,0.548515
0.4,5,20,0.55405
0.3,5,20,0.28494
0.2,5,20,0.22252
0.1,5,20,0.113335
0.9,5,30,0.97889
0.8,5,30,0.934895
0.7,5,30,0.858955
0.6,5,30,0.72485
0.5,5,30,0.665415
0.4,5,30,0.619365
0.3,5,30,0.378055
0.2,5,30,0.227715
0.1,5,30,0.072065
0.9,5,40,0.97708
0.8,5,40,0.943015
0.7,5,40,0.88671
0.6,5,40,0.798655
0.5,5,40,0.730375
0.4,5,40,0.59315
0.3,5,40,0.472555
0.2,5,40,0.307425
0.1,5,40,0.09232
0.9,5,50,0.975905
0.8,5,50,0.95463
0.7,5,50,0.903885
0.6,5,50,0.821985
0.5,5,50,0.745355
0.4,5,50,0.663815
0.3,5,50,0.377115
0.2,5,50,0.24656
0.1,5,50,0.064695
0.9,6,1,0.05351
0.8,6,1,0.235215
0.7,6,1,0.01505
0.6,6,1,0.06352
0.5,6,1,0.030045
0.4,6,1,0.032475
0.3,6,1,0.00097
0.2,6,1,0.00259
0.1,6,1,0.002255
0.9,6,10,0.64677
0.8,6,10,0.46673
0.7,6,10,0.591895
0.6,6,10,0.42248
0.5,6,10,0.37814
0.4,6,10,0.16097
0.3,6,10,0.08066
0.2,6,10,0.035205
0.1,6,10,0.00587
0.9,6,20,0.921155
0.8,6,20,0.70547
0.7,6,20,0.723365
0.6,6,20,0.54145
0.5,6,20,0.525925
0.4,6,20,0.191035
0.3,6,20,0.07965
0.2,6,20,0.06946
0.1,6,20,0.031045
0.9,6,30,0.940705
0.8,6,30,0.90307
0.7,6,30,0.823845
0.6,6,30,0.6648
0.5,6,30,0.577265
0.4,6,30,0.437255
0.3,6,30,0.22293
0.2,6,30,0.083965
0.1,6,30,0.06884
0.9,6,40,0.957275
0.8,6,40,0.905365
0.7,6,40,0.840495
0.6,6,40,0.719365
0.5,6,40,0.496005
0.4,6,40,0.30535
0.3,6,40,0.283565
0.2,6,40,0.097685
0.1,6,40,0.04719
0.9,6,50,0.96714
0.8,6,50,0.89933
0.7,6,50,0.891675
0.6,6,50,0.754355
0.5,6,50,0.667255
0.4,6,50,0.460205
0.3,6,50,0.312485
0.2,6,50,0.1584
0.1,6,50,0.0513
0.9,7,1,0.067325
0.8,7,1,0.206695
0.7,7,1,0.01289
0.6,7,1,0.066785
0.5,7,1,0.00231
0.4,7,1,0.010305
0.3,7,1,0.00075
0.2,7,1,0.00033
0.1,7,1,0.000905
0.9,7,10,0.43127
0.8,7,10,0.509885
0.7,7,10,0.42576
0.6,7,10,0.33553
0.5,7,10,0.15753
0.4,7,10,0.067815
0.3,7,10,0.01995
0.2,7,10,0.01225
0.1,7,10,0.005085
0.9,7,20,0.85212
0.8,7,20,0.7599
0.7,7,20,0.585235
0.6,7,20,0.388845
0.5,7,20,0.235485
0.4,7,20,0.12911
0.3,7,20,0.06209
0.2,7,20,0.020305
0.1,7,20,0.013865
0.9,7,30,0.898475
0.8,7,30,0.77108
0.7,7,30,0.695195
0.6,7,30,0.567055
0.5,7,30,0.411955
0.4,7,30,0.238705
0.3,7,30,0.07076
0.2,7,30,0.04768
0.1,7,30,0.03108
0.9,7,40,0.869635
0.8,7,40,0.870225
0.7,7,40,0.738805
0.6,7,40,0.619765
0.5,7,40,0.49496
0.4,7,40,0.265435
0.3,7,40,0.106875
0.2,7,40,0.036715
0.1,7,40,0.02008
0.9,7,50,0.94799
0.8,7,50,0.85686
0.7,7,50,0.796035
0.6,7,50,0.57067
0.5,7,50,0.434215
0.4,7,50,0.305625
0.3,7,50,0.10593
0.2,7,50,0.10185
0.1,7,50,0.030795
0.9,8,1,0.19499
0.8,8,1,0.000925
0.7,8,1,0.070745
0.6,8,1,0.00059
0.5,8,1,0.02223
0.4,8,1,0.002045
0.3,8,1,0.0006
0.2,8,1,0.00059
0.1,8,1,0.000555
0.9,8,10,0.55376
0.8,8,10,0.374185
0.7,8,10,0.351895
0.6,8,10,0.255325
0.5,8,10,0.123565
0.4,8,10,0.045315
0.3,8,10,0.03793
0.2,8,10,0.005705
0.1,8,10,0.00345
0.9,8,20,0.74088
0.8,8,20,0.569775
0.7,8,20,0.350355
0.6,8,20,0.337185
0.5,8,20,0.21215
0.4,8,20,0.13807
0.3,8,20,0.06735
0.2,8,20,0.01598
0.1,8,20,0.02181
0.9,8,30,0.81081
0.8,8,30,0.647605
0.7,8,30,0.52345
0.6,8,30,0.373145
0.5,8,30,0.202305
0.4,8,30,0.1583
0.3,8,30,0.086785
0.2,8,30,0.034935
