rho,lmbda,gamma,k,num_regions,trial,C_T,cr_q
0.1,5,0.00025,1,10,79,-8.587506313985203,0.186
0.1,5,0.00025,1,10,80,-9.617362743248863,0.2085
0.1,5,0.00025,1,10,81,-9.097048345815187,0.1885
0.1,5,0.00025,1,10,82,-9.418047443324726,0.183
0.1,5,0.00025,1,10,83,-9.612005220622715,0.183
0.1,5,0.00025,1,10,84,-9.97939829343929,0.1605
0.1,5,0.00025,1,10,85,-9.436805700338004,0.195
0.1,5,0.00025,1,10,86,-9.927199124866865,0.202
0.1,5,0.00025,1,10,87,-8.913882050871601,0.187
0.1,5,0.00025,1,10,88,-9.621010909706692,0.2
0.1,5,0.00025,1,10,89,-8.554640473994654,0.2145
0.1,5,0.00025,1,10,90,-9.018687369792163,0.2205
0.1,5,0.00025,1,10,91,-8.400631308022316,0.25
0.1,5,0.00025,1,10,92,-9.681703260292103,0.203
0.1,5,0.00025,1,10,93,-8.486509739985035,0.161
0.1,5,0.00025,1,10,94,-6.559249143283132,0.1875
0.1,5,0.00025,1,10,95,-8.875052739020031,0.171
0.1,5,0.00025,1,10,96,-9.115918225755665,0.2155
0.1,5,0.00025,1,10,97,-8.137622580904651,0.1585
0.1,5,0.00025,1,10,98,-9.208286171756953,0.2545
0.1,5,0.00025,1,10,99,-8.547664574386891,0.1995
0.1,5,0.00025,1,20,0,-5.564456535823252,0.214
0.1,5,0.00025,1,20,1,-6.880724976825116,0.2215
0.1,5,0.00025,1,20,2,-6.065919039414169,0.186
0.1,5,0.00025,1,20,3,-6.1472940606702755,0.172
0.1,5,0.00025,1,20,4,-6.72225236694103,0.184
0.1,5,0.00025,1,20,5,-6.184087781487683,0.19
0.1,5,0.00025,1,20,6,-6.509754408456837,0.227
0.1,5,0.00025,1,20,7,-6.58044745498738,0.1865
0.1,5,0.00025,1,20,8,-6.188882040450736,0.183
0.1,5,0.00025,1,20,9,-6.2515848687368205,0.17
0.1,5,0.00025,1,20,10,-6.9773276084577205,0.179
0.1,5,0.00025,1,20,11,-6.4406448591971,0.155
0.1,5,0.00025,1,20,12,-6.8750629838592285,0.1475
0.1,5,0.00025,1,20,13,-6.508627352735495,0.203
0.1,5,0.00025,1,20,14,-6.371153741155769,0.1785
0.1,5,0.00025,1,20,15,-4.651023315389255,0.1945
0.1,5,0.00025,1,20,16,-6.316608257646294,0.195
0.1,5,0.00025,1,20,17,-7.161097840831689,0.2185
0.1,5,0.00025,1,20,18,-6.167609693749676,0.197
0.1,5,0.00025,1,20,19,-6.490232042700377,0.187
0.1,5,0.00025,1,20,20,-5.649754079158808,0.18
0.1,5,0.00025,1,20,21,-6.590957427943542,0.2045
0.1,5,0.00025,1,20,22,-5.664748534342681,0.17
0.1,5,0.00025,1,20,23,-5.346356826473334,0.1815
0.1,5,0.00025,1,20,24,-6.343307479814403,0.1895
0.1,5,0.00025,1,20,25,-6.374077450829518,0.2015
0.1,5,0.00025,1,20,26,-6.833121065039224,0.1975
0.1,5,0.00025,1,20,27,-6.002126088384426,0.1855
0.1,5,0.00025,1,20,28,-5.996722907567769,0.2035
0.1,5,0.00025,1,20,29,-6.410523335936927,0.1755
0.1,5,0.00025,1,20,30,-5.513623247534384,0.1835
0.1,5,0.00025,1,20,31,-5.639861279615517,0.1885
0.1,5,0.00025,1,20,32,-7.0089996418852,0.1895
0.1,5,0.00025,1,20,33,-6.327920511940968,0.17
0.1,5,0.00025,1,20,34,-6.753793843466494,0.227
0.1,5,0.00025,1,20,35,-5.551679016015032,0.198
0.1,5,0.00025,1,20,36,-6.056889135481226,0.168
0.1,5,0.00025,1,20,37,-6.185807918063698,0.222
0.1,5,0.00025,1,20,38,-6.423122796391876,0.2
0.1,5,0.00025,1,20,39,-6.764297132626193,0.206
0.1,5,0.00025,1,20,40,-6.270145306488428,0.2045
0.1,5,0.00025,1,20,41,-6.837831619143725,0.244
0.1,5,0.00025,1,20,42,-6.20060372757681,0.1895
0.1,5,0.00025,1,20,43,-5.898161122551894,0.182
0.1,5,0.00025,1,20,44,-6.033629649246921,0.1815
0.1,5,0.00025,1,20,45,-6.6270696320589,0.1905
0.1,5,0.00025,1,20,46,-6.12135344273772,0.205
0.1,5,0.00025,1,20,47,-5.229170488915002,0.1845
0.1,5,0.00025,1,20,48,-6.234364977554373,0.1795
0.1,5,0.00025,1,20,49,-6.314964018557508,0.1835
0.1,5,0.00025,1,20,50,-6.466366939666373,0.2305
0.1,5,0.00025,1,20,51,-6.131678636769476,0.1765
0.1,5,0.00025,1,20,52,-5.3823481481751365,0.1635
0.1,5,0.00025,1,20,53,-5.844156855240909,0.206
0.1,5,0.00025,1,20,54,-5.159440944080712,0.174
0.1,5,0.00025,1,20,55,-5.729836441707772,0.196
0.1,5,0.00025,1,20,56,-7.283253128621207,0.213
0.1,5,0.00025,1,20,57,-6.246834684774277,0.248
0.1,5,0.00025,1,20,58,-6.459870426491988,0.204
0.1,5,0.00025,1,20,59,-6.833446173927406,0.2155
0.1,5,0.00025,1,20,60,-6.5040416234700755,0.1655
0.1,5,0.00025,1,20,61,-6.399920912615854,0.1855
0.1,5,0.00025,1,20,62,-7.184618322724901,0.187
0.1,5,0.00025,1,20,63,-6.768234175212221,0.1825
0.1,5,0.00025,1,20,64,-6.210761906869,0.1845
0.1,5,0.00025,1,20,65,-6.35240730148077,0.1475
0.1,5,0.00025,1,20,66,-6.448724558262026,0.202
0.1,5,0.00025,1,20,67,-5.70511226805454,0.198
0.1,5,0.00025,1,20,68,-6.049425421590207,0.1745
0.1,5,0.00025,1,20,69,-6.098173020024325,0.2085
0.1,5,0.00025,1,20,70,-7.054264093622307,0.1805
0.1,5,0.00025,1,20,71,-6.3135626161815965,0.1815
0.1,5,0.00025,1,20,72,-6.333780353535258,0.192
0.1,5,0.00025,1,20,73,-5.704313136048238,0.2145
0.1,5,0.00025,1,20,74,-6.6021275022798696,0.215
0.1,5,0.00025,1,20,75,-6.525827131924419,0.1605
0.1,5,0.00025,1,20,76,-5.621320180299934,0.198
0.1,5,0.00025,1,20,77,-5.941738903493708,0.219
0.1,5,0.00025,1,20,78,-5.480644481280837,0.173
0.1,5,0.00025,1,20,79,-7.1117244465324285,0.186
0.1,5,0.00025,1,20,80,-5.621646029153915,0.2085
0.1,5,0.00025,1,20,81,-6.853204976787926,0.1885
0.1,5,0.00025,1,20,82,-7.333186105061994,0.183
0.1,5,0.00025,1,20,83,-6.956167248823696,0.183
0.1,5,0.00025,1,20,84,-5.494836439139891,0.1605
0.1,5,0.00025,1,20,85,-6.543207621320454,0.195
0.1,5,0.00025,1,20,86,-6.5212548565740835,0.202
0.1,5,0.00025,1,20,87,-6.3536324195418485,0.187
0.1,5,0.00025,1,20,88,-6.2598505097236545,0.2
0.1,5,0.00025,1,20,89,-6.262577255431988,0.2145
0.1,5,0.00025,1,20,90,-6.5652855605327565,0.2205
0.1,5,0.00025,1,20,91,-6.239764883419695,0.25
0.1,5,0.00025,1,20,92,-5.852580349111755,0.203
0.1,5,0.00025,1,20,93,-6.185992148974855,0.161
0.1,5,0.00025,1,20,94,-6.871856617757602,0.1875
0.1,5,0.00025,1,20,95,-6.656677196919303,0.171
0.1,5,0.00025,1,20,96,-6.387566022001341,0.2155
0.1,5,0.00025,1,20,97,-6.373478273274988,0.1585
0.1,5,0.00025,1,20,98,-6.496498129965313,0.2545
0.1,5,0.00025,1,20,99,-5.793956231880203,0.1995
0.1,5,0.00025,5,5,0,-13.047667878832609,0.677
0.1,5,0.00025,5,5,1,-13.08898697914655,0.7095
0.1,5,0.00025,5,5,2,-13.331785126286144,0.649
0.1,5,0.00025,5,5,3,-12.884097649566314,0.6905
0.1,5,0.00025,5,5,4,-13.719370301228121,0.6575
0.1,5,0.00025,5,5,5,-13.848178325595107,0.6865
0.1,5,0.00025,5,5,6,-13.008042067053285,0.682
0.1,5,0.00025,5,5,7,-12.342613550655551,0.649
0.1,5,0.00025,5,5,8,-13.427819513469757,0.66
0.1,5,0.00025,5,5,9,-13.828469646188879,0.668
0.1,5,0.00025,5,5,10,-13.612493321587841,0.636
0.1,5,0.00025,5,5,11,-13.331933373158066,0.6625
0.1,5,0.00025,5,5,12,-14.054027868759773,0.697
0.1,5,0.00025,5,5,13,-13.395189440869773,0.636
0.1,5,0.00025,5,5,14,-13.351452163376727,0.631
0.1,5,0.00025,5,5,15,-12.616367959689908,0.6895
0.1,5,0.00025,5,5,16,-13.449955385703769,0.654
0.1,5,0.00025,5,5,17,-12.859593872626805,0.679
0.1,5,0.00025,5,5,18,-12.643204799961026,0.6615
0.1,5,0.00025,5,5,19,-13.523658035594991,0.653
0.1,5,0.00025,5,5,20,-13.789576854231019,0.657
0.1,5,0.00025,5,5,21,-13.617515318571533,0.693
0.1,5,0.00025,5,5,22,-13.772554542287166,0.6745
0.1,5,0.00025,5,5,23,-13.13294183010159,0.6955
0.1,5,0.00025,5,5,24,-13.036906557859984,0.702
0.1,5,0.00025,5,5,25,-13.751427648291658,0.6395
0.1,5,0.00025,5,5,26,-13.73512197878752,0.6335
0.1,5,0.00025,5,5,27,-14.02404924053014,0.612
0.1,5,0.00025,5,5,28,-13.257901467136852,0.666
0.1,5,0.00025,5,5,29,-13.406077083219582,0.6295
0.1,5,0.00025,5,5,30,-11.860802877890645,0.6355
0.1,5,0.00025,5,5,31,-12.16306394122315,0.659
0.1,5,0.00025,5,5,32,-13.695048331144324,0.6685
0.1,5,0.00025,5,5,33,-12.691667423235153,0.6575
0.1,5,0.00025,5,5,34,-12.917089784619138,0.6605
0.1,5,0.00025,5,5,35,-13.435637654447364,0.6475
0.1,5,0.00025,5,5,36,-13.27914052075991,0.657
0.1,5,0.00025,5,5,37,-13.918833934391783,0.6595
0.1,5,0.00025,5,5,38,-13.948408101661329,0.652
0.1,5,0.00025,5,5,39,-12.864891870173725,0.659
0.1,5,0.00025,5,5,40,-13.681189815161053,0.673
0.1,5,0.00025,5,5,41,-13.295939947748531,0.6535
0.1,5,0.00025,5,5,42,-13.966890353279618,0.6475
0.1,5,0.00025,5,5,43,-13.411176470957075,0.676
0.1,5,0.00025,5,5,44,-12.810417208692064,0.6965
0.1,5,0.00025,5,5,45,-13.219801211609953,0.7025
0.1,5,0.00025,5,5,46,-13.41873313886456,0.661
0.1,5,0.00025,5,5,47,-13.320676098352795,0.6995
0.1,5,0.00025,5,5,48,-13.4319924295366,0.6495
0.1,5,0.00025,5,5,49,-13.588668909632418,0.675
0.1,5,0.00025,5,5,50,-12.65373355842827,0.661
0.1,5,0.00025,5,5,51,-13.710903808025131,0.652
0.1,5,0.00025,5,5,52,-13.277834345386724,0.6445
0.1,5,0.00025,5,5,53,-12.426794619753844,0.6885
0.1,5,0.00025,5,5,54,-14.257379598990147,0.691
0.1,5,0.00025,5,5,55,-13.154519655695289,0.65
0.1,5,0.00025,5,5,56,-13.773134704514858,0.685
0.1,5,0.00025,5,5,57,-13.38257149035229,0.6365
0.1,5,0.00025,5,5,58,-13.055276694195438,0.6545
0.1,5,0.00025,5,5,59,-14.340004867429043,0.647
0.1,5,0.00025,5,5,60,-11.757815660236767,0.621
0.1,5,0.00025,5,5,61,-13.775378346145839,0.675
0.1,5,0.00025,5,5,62,-13.97215970753163,0.6865
0.1,5,0.00025,5,5,63,-13.153863286534598,0.6695
0.1,5,0.00025,5,5,64,-13.107798613767075,0.661
0.1,5,0.00025,5,5,65,-13.491668877769124,0.6675
0.1,5,0.00025,5,5,66,-12.874945193168767,0.6925
0.1,5,0.00025,5,5,67,-13.17429289056148,0.6685
0.1,5,0.00025,5,5,68,-13.09910096348078,0.6755
0.1,5,0.00025,5,5,69,-13.187794108302265,0.6365
0.1,5,0.00025,5,5,70,-13.71410203197454,0.7
0.1,5,0.00025,5,5,71,-13.744136845449226,0.6635
0.1,5,0.00025,5,5,72,-11.286814245945148,0.663
0.1,5,0.00025,5,5,73,-13.542504222623116,0.651
0.1,5,0.00025,5,5,74,-12.647145904802713,0.635
0.1,5,0.00025,5,5,75,-11.920231805465548,0.6745
0.1,5,0.00025,5,5,76,-13.361882309770621,0.687
0.1,5,0.00025,5,5,77,-12.682355911191687,0.6455
0.1,5,0.00025,5,5,78,-13.21223893562328,0.6475
0.1,5,0.00025,5,5,79,-13.524348847590835,0.677
0.1,5,0.00025,5,5,80,-13.04060047990464,0.677
0.1,5,0.00025,5,5,81,-13.760781377100619,0.662
0.1,5,0.00025,5,5,82,-13.691356378688088,0.7245
0.1,5,0.00025,5,5,83,-12.575574528618917,0.6325
0.1,5,0.00025,5,5,84,-11.998690102351505,0.669
0.1,5,0.00025,5,5,85,-12.882285739242088,0.6825
0.1,5,0.00025,5,5,86,-13.751634542128325,0.6905
0.1,5,0.00025,5,5,87,-13.137551819830717,0.641
0.1,5,0.00025,5,5,88,-12.352315513138471,0.646
0.1,5,0.00025,5,5,89,-13.791413730341258,0.624
0.1,5,0.00025,5,5,90,-13.30786775405981,0.6825
0.1,5,0.00025,5,5,91,-13.996157657203847,0.6445
0.1,5,0.00025,5,5,92,-13.58152499307975,0.639
0.1,5,0.00025,5,5,93,-13.395092557206661,0.674
0.1,5,0.00025,5,5,94,-13.72793234698746,0.6715
0.1,5,0.00025,5,5,95,-13.756812827001044,0.7135
0.1,5,0.00025,5,5,96,-13.172968803371228,0.6705
0.1,5,0.00025,5,5,97,-13.233573289149282,0.6795
0.1,5,0.00025,5,5,98,-13.593917791311338,0.656
0.1,5,0.00025,5,5,99,-13.69809432934685,0.6525
0.1,5,0.00025,5,10,0,-9.243980338772989,0.677
0.1,5,0.00025,5,10,1,-9.05025326106027,0.7095
0.1,5,0.00025,5,10,2,-9.49847674283719,0.649
0.1,5,0.00025,5,10,3,-9.429677827832629,0.6905
0.1,5,0.00025,5,10,4,-8.688429650535117,0.6575
0.1,5,0.00025,5,10,5,-7.942435970818529,0.6865
0.1,5,0.00025,5,10,6,-9.043808462624504,0.682
0.1,5,0.00025,5,10,7,-8.417023878313548,0.649
0.1,5,0.00025,5,10,8,-8.80355006225662,0.66
0.1,5,0.00025,5,10,9,-8.609197675039225,0.668
0.1,5,0.00025,5,10,10,-9.460524840159213,0.636
0.1,5,0.00025,5,10,11,-8.791518153024922,0.6625
0.1,5,0.00025,5,10,12,-8.715915050159998,0.697
0.1,5,0.00025,5,10,13,-8.376788279174589,0.636
0.1,5,0.00025,5,10,14,-8.560547229862149,0.631
0.1,5,0.00025,5,10,15,-9.953211402704994,0.6895
0.1,5,0.00025,5,10,16,-9.118689824810001,0.654
0.1,5,0.00025,5,10,17,-8.420663492099726,0.679
0.1,5,0.00025,5,10,18,-9.449753200344816,0.6615
0.1,5,0.00025,5,10,19,-9.347685192183778,0.653
0.1,5,0.00025,5,10,20,-7.490838608714709,0.657
0.1,5,0.00025,5,10,21,-9.166879165207762,0.693
0.1,5,0.00025,5,10,22,-9.83784520124557,0.6745
0.1,5,0.00025,5,10,23,-9.229294996580146,0.6955
0.1,5,0.00025,5,10,24,-8.880733925134837,0.702
0.1,5,0.00025,5,10,25,-9.494271667799474,0.6395
0.1,5,0.00025,5,10,26,-9.281566982310832,0.6335
0.1,5,0.00025,5,10,27,-10.101902099801766,0.612
0.1,5,0.00025,5,10,28,-9.157008928375301,0.666
0.1,5,0.00025,5,10,29,-8.421756073999731,0.6295
0.1,5,0.00025,5,10,30,-8.602068829424999,0.6355
0.1,5,0.00025,5,10,31,-9.462737711789755,0.659
0.1,5,0.00025,5,10,32,-8.519036407280312,0.6685
0.1,5,0.00025,5,10,33,-10.524216223532285,0.6575
0.1,5,0.00025,5,10,34,-9.214225723314877,0.6605
0.1,5,0.00025,5,10,35,-10.342068949671695,0.6475
0.1,5,0.00025,5,10,36,-8.810719601541242,0.657
0.1,5,0.00025,5,10,37,-8.570212890962644,0.6595
0.1,5,0.00025,5,10,38,-9.224464436959108,0.652
0.1,5,0.00025,5,10,39,-7.864802266930135,0.659
0.1,5,0.00025,5,10,40,-7.925118799637927,0.673
0.1,5,0.00025,5,10,41,-9.057960967596339,0.6535
0.1,5,0.00025,5,10,42,-9.002000066618793,0.6475
0.1,5,0.00025,5,10,43,-8.544470837596311,0.676
0.1,5,0.00025,5,10,44,-8.57589004709934,0.6965
0.1,5,0.00025,5,10,45,-9.72166779702203,0.7025
0.1,5,0.00025,5,10,46,-8.51644936349791,0.661
0.1,5,0.00025,5,10,47,-9.94380141649609,0.6995
0.1,5,0.00025,5,10,48,-7.8668101438296,0.6495
0.1,5,0.00025,5,10,49,-9.576472644605891,0.675
0.1,5,0.00025,5,10,50,-9.224508457924678,0.661
0.1,5,0.00025,5,10,51,-8.583851974718362,0.652
0.1,5,0.00025,5,10,52,-9.349450361742242,0.6445
0.1,5,0.00025,5,10,53,-9.675331257053102,0.6885
