lmbda,k,gamma,trial,model,rho,cr,C_T
5,1,0.00025,3,true_distr,0.4,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.5,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.6,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.7000000000000001,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.8,0.0735,3.5878480205042105
5,1,0.00025,3,true_distr,0.9,0.0735,3.5878480205042105
5,1,0.00025,4,mixed_model,0.1,,
5,1,0.00025,4,mixed_model,0.2,,
5,1,0.00025,4,mixed_model,0.30000000000000004,,
5,1,0.00025,4,mixed_model,0.4,,
5,1,0.00025,4,mixed_model,0.5,,
5,1,0.00025,4,mixed_model,0.6,,
5,1,0.00025,4,mixed_model,0.7000000000000001,,
5,1,0.00025,4,mixed_model,0.8,,
5,1,0.00025,4,mixed_model,0.9,,
5,1,0.00025,4,mixture_model,0.1,,
5,1,0.00025,4,mixture_model,0.2,,
5,1,0.00025,4,mixture_model,0.30000000000000004,,
5,1,0.00025,4,mixture_model,0.4,,
5,1,0.00025,4,mixture_model,0.5,,
5,1,0.00025,4,mixture_model,0.6,,
5,1,0.00025,4,mixture_model,0.7000000000000001,,
5,1,0.00025,4,mixture_model,0.8,,
5,1,0.00025,4,mixture_model,0.9,,
5,1,0.00025,4,true_distr,0.1,0.0805,2.5523044961661854
5,1,0.00025,4,true_distr,0.2,0.0805,2.5523044961661854
5,1,0.00025,4,true_distr,0.30000000000000004,0.0805,2.5523044961661854
5,1,0.00025,4,true_distr,0.4,0.0805,2.5523044961661854
5,1,0.00025,4,true_distr,0.5,0.0805,2.5523044961661854
5,1,0.00025,4,true_distr,0.6,0.0805,2.5523044961661854
5,1,0.00025,4,true_distr,0.7000000000000001,0.0805,2.5523044961661854
5,1,0.00025,4,true_distr,0.8,0.0805,2.5523044961661854
5,1,0.00025,4,true_distr,0.9,0.0805,2.5523044961661854
5,1,0.00025,5,mixed_model,0.1,,
5,1,0.00025,5,mixed_model,0.2,,
5,1,0.00025,5,mixed_model,0.30000000000000004,,
5,1,0.00025,5,mixed_model,0.4,,
5,1,0.00025,5,mixed_model,0.5,,
5,1,0.00025,5,mixed_model,0.6,,
5,1,0.00025,5,mixed_model,0.7000000000000001,,
5,1,0.00025,5,mixed_model,0.8,,
5,1,0.00025,5,mixed_model,0.9,,
5,1,0.00025,5,mixture_model,0.1,,
5,1,0.00025,5,mixture_model,0.2,,
5,1,0.00025,5,mixture_model,0.30000000000000004,,
5,1,0.00025,5,mixture_model,0.4,,
5,1,0.00025,5,mixture_model,0.5,,
5,1,0.00025,5,mixture_model,0.6,,
5,1,0.00025,5,mixture_model,0.7000000000000001,,
5,1,0.00025,5,mixture_model,0.8,,
5,1,0.00025,5,mixture_model,0.9,,
5,1,0.00025,5,true_distr,0.1,0.106,3.714129410896389
5,1,0.00025,5,true_distr,0.2,0.106,3.714129410896389
5,1,0.00025,5,true_distr,0.30000000000000004,0.106,3.714129410896389
5,1,0.00025,5,true_distr,0.4,0.106,3.714129410896389
5,1,0.00025,5,true_distr,0.5,0.106,3.714129410896389
5,1,0.00025,5,true_distr,0.6,0.106,3.714129410896389
5,1,0.00025,5,true_distr,0.7000000000000001,0.106,3.714129410896389
5,1,0.00025,5,true_distr,0.8,0.106,3.714129410896389
5,1,0.00025,5,true_distr,0.9,0.106,3.714129410896389
5,1,0.00025,6,mixed_model,0.1,,
5,1,0.00025,6,mixed_model,0.2,,
5,1,0.00025,6,mixed_model,0.30000000000000004,,
5,1,0.00025,6,mixed_model,0.4,,
5,1,0.00025,6,mixed_model,0.5,,
5,1,0.00025,6,mixed_model,0.6,,
5,1,0.00025,6,mixed_model,0.7000000000000001,,
5,1,0.00025,6,mixed_model,0.8,,
5,1,0.00025,6,mixed_model,0.9,,
5,1,0.00025,6,mixture_model,0.1,,
5,1,0.00025,6,mixture_model,0.2,,
5,1,0.00025,6,mixture_model,0.30000000000000004,,
5,1,0.00025,6,mixture_model,0.4,,
5,1,0.00025,6,mixture_model,0.5,,
5,1,0.00025,6,mixture_model,0.6,,
5,1,0.00025,6,mixture_model,0.7000000000000001,,
5,1,0.00025,6,mixture_model,0.8,,
5,1,0.00025,6,mixture_model,0.9,,
5,1,0.00025,6,true_distr,0.1,0.0705,3.9222842662552537
5,1,0.00025,6,true_distr,0.2,0.0705,3.9222842662552537
5,1,0.00025,6,true_distr,0.30000000000000004,0.0705,3.9222842662552537
5,1,0.00025,6,true_distr,0.4,0.0705,3.9222842662552537
5,1,0.00025,6,true_distr,0.5,0.0705,3.9222842662552537
5,1,0.00025,6,true_distr,0.6,0.0705,3.9222842662552537
5,1,0.00025,6,true_distr,0.7000000000000001,0.0705,3.9222842662552537
5,1,0.00025,6,true_distr,0.8,0.0705,3.9222842662552537
5,1,0.00025,6,true_distr,0.9,0.0705,3.9222842662552537
5,1,0.00025,7,mixed_model,0.1,,
5,1,0.00025,7,mixed_model,0.2,,
5,1,0.00025,7,mixed_model,0.30000000000000004,,
5,1,0.00025,7,mixed_model,0.4,,
5,1,0.00025,7,mixed_model,0.5,,
5,1,0.00025,7,mixed_model,0.6,,
5,1,0.00025,7,mixed_model,0.7000000000000001,,
5,1,0.00025,7,mixed_model,0.8,,
5,1,0.00025,7,mixed_model,0.9,,
5,1,0.00025,7,mixture_model,0.1,,
5,1,0.00025,7,mixture_model,0.2,,
5,1,0.00025,7,mixture_model,0.30000000000000004,,
5,1,0.00025,7,mixture_model,0.4,,
5,1,0.00025,7,mixture_model,0.5,,
5,1,0.00025,7,mixture_model,0.6,,
5,1,0.00025,7,mixture_model,0.7000000000000001,,
5,1,0.00025,7,mixture_model,0.8,,
5,1,0.00025,7,mixture_model,0.9,,
5,1,0.00025,7,true_distr,0.1,0.122,3.1537641956538542
5,1,0.00025,7,true_distr,0.2,0.122,3.1537641956538542
5,1,0.00025,7,true_distr,0.30000000000000004,0.122,3.1537641956538542
5,1,0.00025,7,true_distr,0.4,0.122,3.1537641956538542
5,1,0.00025,7,true_distr,0.5,0.122,3.1537641956538542
5,1,0.00025,7,true_distr,0.6,0.122,3.1537641956538542
5,1,0.00025,7,true_distr,0.7000000000000001,0.122,3.1537641956538542
5,1,0.00025,7,true_distr,0.8,0.122,3.1537641956538542
5,1,0.00025,7,true_distr,0.9,0.122,3.1537641956538542
5,1,0.00025,8,mixed_model,0.1,,
5,1,0.00025,8,mixed_model,0.2,,
5,1,0.00025,8,mixed_model,0.30000000000000004,,
5,1,0.00025,8,mixed_model,0.4,,
5,1,0.00025,8,mixed_model,0.5,,
5,1,0.00025,8,mixed_model,0.6,,
5,1,0.00025,8,mixed_model,0.7000000000000001,,
5,1,0.00025,8,mixed_model,0.8,,
5,1,0.00025,8,mixed_model,0.9,,
5,1,0.00025,8,mixture_model,0.1,,
5,1,0.00025,8,mixture_model,0.2,,
5,1,0.00025,8,mixture_model,0.30000000000000004,,
5,1,0.00025,8,mixture_model,0.4,,
5,1,0.00025,8,mixture_model,0.5,,
5,1,0.00025,8,mixture_model,0.6,,
5,1,0.00025,8,mixture_model,0.7000000000000001,,
5,1,0.00025,8,mixture_model,0.8,,
5,1,0.00025,8,mixture_model,0.9,,
5,1,0.00025,8,true_distr,0.1,0.0695,3.093220116005703
5,1,0.00025,8,true_distr,0.2,0.0695,3.093220116005703
5,1,0.00025,8,true_distr,0.30000000000000004,0.0695,3.093220116005703
5,1,0.00025,8,true_distr,0.4,0.0695,3.093220116005703
5,1,0.00025,8,true_distr,0.5,0.0695,3.093220116005703
5,1,0.00025,8,true_distr,0.6,0.0695,3.093220116005703
5,1,0.00025,8,true_distr,0.7000000000000001,0.0695,3.093220116005703
5,1,0.00025,8,true_distr,0.8,0.0695,3.093220116005703
5,1,0.00025,8,true_distr,0.9,0.0695,3.093220116005703
5,1,0.00025,9,mixed_model,0.1,,
5,1,0.00025,9,mixed_model,0.2,,
5,1,0.00025,9,mixed_model,0.30000000000000004,,
5,1,0.00025,9,mixed_model,0.4,,
5,1,0.00025,9,mixed_model,0.5,,
5,1,0.00025,9,mixed_model,0.6,,
5,1,0.00025,9,mixed_model,0.7000000000000001,,
5,1,0.00025,9,mixed_model,0.8,,
5,1,0.00025,9,mixed_model,0.9,,
5,1,0.00025,9,mixture_model,0.1,,
5,1,0.00025,9,mixture_model,0.2,,
5,1,0.00025,9,mixture_model,0.30000000000000004,,
5,1,0.00025,9,mixture_model,0.4,,
5,1,0.00025,9,mixture_model,0.5,,
5,1,0.00025,9,mixture_model,0.6,,
5,1,0.00025,9,mixture_model,0.7000000000000001,,
5,1,0.00025,9,mixture_model,0.8,,
5,1,0.00025,9,mixture_model,0.9,,
5,1,0.00025,9,true_distr,0.1,0.0735,3.7394830372153214
5,1,0.00025,9,true_distr,0.2,0.0735,3.7394830372153214
5,1,0.00025,9,true_distr,0.30000000000000004,0.0735,3.7394830372153214
5,1,0.00025,9,true_distr,0.4,0.0735,3.7394830372153214
5,1,0.00025,9,true_distr,0.5,0.0735,3.7394830372153214
5,1,0.00025,9,true_distr,0.6,0.0735,3.7394830372153214
5,1,0.00025,9,true_distr,0.7000000000000001,0.0735,3.7394830372153214
5,1,0.00025,9,true_distr,0.8,0.0735,3.7394830372153214
